id,original_id,original_tweet_time,retweet_time,user,user_join_date,user_followers_count,user_id,text
1254048998991826944,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:05:55 +0000 2020,HeyGenevieve,Tue Sep 01 22:57:06 +0000 2015,802,3419459712,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049034198753285,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:03 +0000 2020,J78512548,Sun Jan 19 15:24:57 +0000 2020,81,1218917166499672071,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049043073970178,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:05 +0000 2020,Carolde,Thu Mar 05 16:05:10 +0000 2009,72409,22936237,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049048975347719,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:07 +0000 2020,barbiebrox,Sat Jul 03 00:36:47 +0000 2010,3332,162204416,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049055040245762,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:08 +0000 2020,KarenDoe50,Tue Oct 30 17:50:29 +0000 2012,12262,915137490,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049059888824323,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:09 +0000 2020,skitworld,Wed Oct 09 19:23:57 +0000 2019,5,1182013648979578880,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049077500751872,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:13 +0000 2020,ChikezieEricCh1,Mon Apr 13 06:33:11 +0000 2020,6,1249585860577759232,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049099952906241,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:19 +0000 2020,dorlar64,Sat Mar 04 03:49:45 +0000 2017,37,837872668582031360,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049118697095168,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:23 +0000 2020,beautybysw,Mon Dec 03 18:28:53 +0000 2012,396,987176803,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049121683623938,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:24 +0000 2020,DouglasBracken1,Tue Feb 26 19:06:09 +0000 2019,2663,1100472102786879489,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049132492328960,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:26 +0000 2020,griff4d1,Thu Aug 04 20:50:53 +0000 2016,42151,761303416782020608,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049134824140805,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:27 +0000 2020,MurrayJones28,Sun Apr 23 01:41:06 +0000 2017,200,855959684821377024,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049140910231553,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:28 +0000 2020,gr02yg,Thu Feb 11 02:02:43 +0000 2010,406,113208462,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049143447830528,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:29 +0000 2020,Rose75615649,Sat Jan 25 06:26:11 +0000 2020,7,1220955886702792706,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049147079913472,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:30 +0000 2020,PebblesKisses,Tue Jul 21 22:29:33 +0000 2009,44,58944419,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049173143461888,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:36 +0000 2020,Brandon27452375,Fri Jan 31 00:20:21 +0000 2020,11,1223038217563312128,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049182110887937,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:38 +0000 2020,MassareDonna,Mon Feb 26 00:10:20 +0000 2018,157,967914691761704966,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049186137374720,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:39 +0000 2020,BUMBACLART27,Fri Dec 13 11:17:42 +0000 2019,780,1205446600962772992,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049194102292480,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:41 +0000 2020,USA1AUS,Wed Nov 23 01:08:22 +0000 2011,1064,419152055,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049195046195200,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:41 +0000 2020,PatCawood,Sun Apr 24 02:43:37 +0000 2011,379,286977619,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049195725598721,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:42 +0000 2020,RitchieCooper46,Wed Mar 21 16:24:23 +0000 2018,3662,976494740375003137,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049198443503616,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:42 +0000 2020,ritheen46,Sun Feb 26 16:58:01 +0000 2017,1207,835896713974013954,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049219360555009,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:47 +0000 2020,mcroff1958,Sun Oct 02 01:12:22 +0000 2016,4265,782387715891458048,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049244429930496,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:53 +0000 2020,OnSwivel,Mon Jun 15 17:42:46 +0000 2015,196,3327554459,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049251920957442,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:06:55 +0000 2020,KevinTatulyan,Sun Apr 01 01:12:51 +0000 2012,735,542124856,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049272326127619,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:00 +0000 2020,hassell_jane,Thu Oct 09 20:04:43 +0000 2014,879,2849173592,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049275341869060,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:01 +0000 2020,winkiechance,Sun Jul 18 20:07:13 +0000 2010,5051,168238759,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049276969320449,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:01 +0000 2020,mscomptchrl,Wed Apr 08 02:09:23 +0000 2020,1,1247708009805025283,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049277694935040,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:01 +0000 2020,LyndaAtchison,Wed Feb 17 23:02:07 +0000 2016,28828,4922868578,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049283860500482,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:03 +0000 2020,chunhua777,Thu Dec 25 13:39:03 +0000 2014,249,2940723893,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049293612331008,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:05 +0000 2020,dg_phelps,Wed Dec 28 13:48:49 +0000 2016,2309,814105829121150977,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049305066786819,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:08 +0000 2020,NicWkl,Sun Nov 22 09:16:42 +0000 2015,6,4248486057,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049309366108160,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:09 +0000 2020,clbrownjr,Sat May 23 15:28:11 +0000 2009,6259,42043635,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049329251143681,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:13 +0000 2020,micheller102071,Mon Oct 30 16:40:37 +0000 2017,241,925039749559083009,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049332166373378,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:14 +0000 2020,DDltitan77,Mon Jan 16 06:34:08 +0000 2012,2093,465316460,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049339233701890,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:16 +0000 2020,curry24,Mon Mar 23 14:06:04 +0000 2009,171,26005961,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
1254049392581054464,1254032243770736642,Sat Apr 25 12:59:20 +0000 2020,Sat Apr 25 14:07:28 +0000 2020,PamelaT18,Sat May 21 14:33:00 +0000 2011,232,302641726,"RT @realDonaldTrump: Many testing sites are, and have been, open &amp; available. Just passed 5 Million Tests, far more than any other country…"
